0d1ace9a-baa2-46ed-b5e3-09b9dcdc60e1,2015-10-20T02:22:51.456131,2017-12-19T03:34:38.915912,1,2nd-hand-goods-collection-points,2nd Hand Goods Collection Points,"{'description': '', 'created': '2015-05-19T01:11:35.660383', 'title': 'National Environment Agency', 'name': 'national-environment-agency', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '53d35239-5cec-411b-9e17-ae9142a9e07b', 'type': 'organization', 'id': '0c554b87-60b3-4b38-95eb-e0c29c0965cb', 'approval_status': 'approved'}",national-environment-agency,National Environment Agency
6ed1bad5-0051-45e1-8619-0eab2a241e1a,2015-09-15T09:10:35.744432,2017-03-28T07:07:58.245249,3,3g-public-cellular-mobile-telephone-services,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,"{'description': '', 'created': '2015-05-19T01:11:33.596705', 'title': 'Infocomm Media Development Authority', 'name': 'infocomm-media-development-authority', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '816152e0-b313-4ad5-9ab6-31127fe1776f', 'type': 'organization', 'id': 'c45c7957-a9b5-4308-97c4-b748bc0964d8', 'approval_status': 'approved'}",infocomm-media-development-authority,Infocomm Media Development Authority
e32d6a83-e791-4103-8601-3be37b2ae7e4,2016-04-12T06:33:55.793456,2017-03-28T07:08:24.526902,1,3g-public-cellular-mobile-telephone-services-average-drop-call-rate,3G Public Cellular Mobile Telephone Services - Average Drop Call Rate,"{'description': '', 'created': '2015-05-19T01:11:33.596705', 'title': 'Infocomm Media Development Authority', 'name': 'infocomm-media-development-authority', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '816152e0-b313-4ad5-9ab6-31127fe1776f', 'type': 'organization', 'id': 'c45c7957-a9b5-4308-97c4-b748bc0964d8', 'approval_status': 'approved'}",infocomm-media-development-authority,Infocomm Media Development Authority
f2f39aa0-7e35-4edc-80d8-c2a09e2c587a,2016-04-12T06:07:43.857613,2017-03-28T07:08:36.878238,1,3g-public-cellular-mobile-telephone-services-nation-wide-service-coverage,3G Public Cellular Mobile Telephone Services  - Nation-wide Service Coverage,"{'description': '', 'created': '2015-05-19T01:11:33.596705', 'title': 'Infocomm Media Development Authority', 'name': 'infocomm-media-development-authority', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '816152e0-b313-4ad5-9ab6-31127fe1776f', 'type': 'organization', 'id': 'c45c7957-a9b5-4308-97c4-b748bc0964d8', 'approval_status': 'approved'}",infocomm-media-development-authority,Infocomm Media Development Authority
da282d56-8660-4a7f-933d-ac5fb53be72c,2017-06-14T09:04:30.421664,2023-04-28T07:26:46.560323,1,abc-waters-construction,ABC Waters Construction,"{'description': '', 'created': '2015-05-19T01:11:37.465116', 'title': ""PUB, Singapore's national water agency"", 'name': 'pub-singapores-national-water-agency', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '2a35037e-7d1a-4cbb-b319-07731d4e4214', 'type': 'organization', 'id': '4a539459-2c41-4069-b3f6-ac1ba652fd6d', 'approval_status': 'approved'}",pub-singapores-national-water-agency,"PUB, Singapore's national water agency"
a9ce3c62-852d-424d-9471-5751c44105da,2016-11-09T03:50:37.474179,2023-04-28T07:28:16.214697,1,abc-waters-sites,ABC Waters Sites,"{'description': '', 'created': '2015-05-19T01:11:37.465116', 'title': ""PUB, Singapore's national water agency"", 'name': 'pub-singapores-national-water-agency', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '2a35037e-7d1a-4cbb-b319-07731d4e4214', 'type': 'organization', 'id': '4a539459-2c41-4069-b3f6-ac1ba652fd6d', 'approval_status': 'approved'}",pub-singapores-national-water-agency,"PUB, Singapore's national water agency"
95c2dda2-cd18-44aa-bc79-923adc3380bb,2016-03-30T07:32:48.342732,2023-05-19T03:40:28.779498,2,academic-programmes,Academic Programmes,"{'description': '', 'created': '2015-05-19T01:11:39.612311', 'title': 'Ministry of Home Affairs - Singapore Prison Service', 'name': 'ministry-of-home-affairs-singapore-prison-service', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '93dcc96b-2dd2-4253-ba77-4062e2fc224e', 'type': 'organization', 'id': '3f4cab60-4464-4312-9dd6-03264997319d', 'approval_status': 'approved'}",ministry-of-home-affairs-singapore-prison-service,Ministry of Home Affairs - Singapore Prison Service
21d477f2-6e1b-4232-82b3-59e804dc2f6a,2017-06-12T11:29:13.932377,2023-07-25T06:45:06.759076,27,acra-information-on-corporate-entities,ACRA Information on Corporate Entities,"{'description': '', 'created': '2015-05-19T01:11:28.666083', 'title': 'Accounting and Corporate Regulatory Authority', 'name': 'accounting-and-corporate-regulatory-authority', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '79f9671a-24d9-44ff-989d-c31f6e6c2fc3', 'type': 'organization', 'id': '37eaf4c5-641e-4bb5-b134-53777fc6f1f0', 'approval_status': 'approved'}",accounting-and-corporate-regulatory-authority,Accounting and Corporate Regulatory Authority
fa31eceb-3f2b-40ff-9651-4c70a603e442,2016-06-06T06:32:17.246000,2022-12-06T07:04:04.764893,1,active-cases-for-home-office-scheme,Active Cases for Home Office Scheme,"{'description': '', 'created': '2015-05-19T01:11:31.403650', 'title': 'Housing and Development Board', 'name': 'housing-and-development-board', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '01cb4473-ec7a-47e9-afb4-22306cc8f530', 'type': 'organization', 'id': '64ee9e7b-4a0d-412a-bc2a-384057ececf9', 'approval_status': 'approved'}",housing-and-development-board,Housing and Development Board
63a59a11-f701-40e8-8b24-9c068275db69,2016-03-27T11:09:51.221527,2022-12-06T07:00:47.414506,1,active-cases-of-renting-out-of-flat,Active Cases of Renting Out of Flat,"{'description': '', 'created': '2015-05-19T01:11:31.403650', 'title': 'Housing and Development Board', 'name': 'housing-and-development-board', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '01cb4473-ec7a-47e9-afb4-22306cc8f530', 'type': 'organization', 'id': '64ee9e7b-4a0d-412a-bc2a-384057ececf9', 'approval_status': 'approved'}",housing-and-development-board,Housing and Development Board
